Designator,Mid X,Mid Y,Rotation,Layer
C1,69.469,15.494,180.0,top
C10,52.705,20.828,0.0,top
C11,49.657,19.05,180.0,top
C2,28.067,10.541,90.0,top
C3,38.735,10.414,90.0,top
C4,29.337,29.337,270.0,top
C5,49.53,29.337,270.0,top
C6,57.912,20.447,0.0,top
C7,52.705,22.225,0.0,top
C8,49.657,20.447,180.0,top
C9,57.912,19.05,0.0,top
R1,69.342,19.939,0.0,top
R2,69.342,16.891,0.0,top
R3,23.114,10.033,180.0,top
R4,26.67,10.541,90.0,top
R5,40.259,10.414,90.0,top
R6,43.942,10.541,90.0,top
U1,53.721,17.653,0.0,top
USB1,24.892,6.048,0.0,top
USB2,41.148,5.921,0.0,top
USB3,25.781,36.504,180.0,top
USB4,45.974,36.504,180.0,top
USB5,73.835,18.161,90.0,top
